edges,verticies,density,clique density,optimal density approximation,number of nodes in the subgraph,time
86858,13866,6.2641,0.000903584,17.7619,42,0.021353
819306,50515,16.2191,-0.000939974,58.018,1724,0.241944
52310,14113,3.70651,0.000525299,10.8969,97,0.017484
89455,7057,12.6761,0.00359299,36.4876,242,0.016009
206259,27917,7.38829,0.000529323,18.2217,1403,0.062059
67114,11565,5.8032,0.00100367,34.5338,281,0.015283
17262,3892,4.43525,0.00227975,30.5938,64,0.004143
498202,54573,9.12909,-0.00075668,16.3826,6775,0.166208
222887,47538,4.68861,-0.000219037,8.58442,77,0.073612
125826,41773,3.01214,0.000144218,5.01235,162,0.047721
6797557,168114,40.4342,-0.00754185,137.204,4088,1.79462
92752,28281,3.27966,0.000231942,8.36782,87,0.024204
